anomaly_rank,na_index,isolation_forest_score,is_anomaly
1,33,-0.0954043425307816,True
2,0,-0.0798048024049751,True
3,45,-0.0233683699230201,True
4,36,-0.0190814055303162,True
5,40,-0.0036683799866894,True
6,42,0.0015721628514383,False
7,1,0.0043138827671319,False
8,16,0.008192320445833,False
9,22,0.0084278971732199,False
10,11,0.0093017633655165,False
11,30,0.0131917187392973,False
12,28,0.0196926157631969,False
13,38,0.0289047402353767,False
14,7,0.0301644515033638,False
15,13,0.0360714490434266,False
16,14,0.0370709869080362,False
17,37,0.0379745683568726,False
18,15,0.0430638412542182,False
19,43,0.0510846868166777,False
20,4,0.0534121695037522,False
21,25,0.0594413115069948,False
22,10,0.0609946098950183,False
23,9,0.0649080461799219,False
24,39,0.0690958538071397,False
25,17,0.0709912970776207,False
26,12,0.0736001750976661,False
27,31,0.0805300117110748,False
28,21,0.0910858317614939,False
29,19,0.0928186179131327,False
30,18,0.0950807491950532,False
31,2,0.0972376418093738,False
32,44,0.0986501752218917,False
33,5,0.1018301648423503,False
34,26,0.1025573431230422,False
35,27,0.1045675471005926,False
36,47,0.1045907051854659,False
37,32,0.1121962308482811,False
38,41,0.1180198619307739,False
39,23,0.1181617602338506,False
40,6,0.1215377013076726,False
41,3,0.1238946437082738,False
42,35,0.1246021855549898,False
43,8,0.1352138566186351,False
44,29,0.1400960189119006,False
45,34,0.1410600334687666,False
46,20,0.1430688594937506,False
47,24,0.149475910062728,False
48,46,0.1541658516855206,False
